#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   155   0.443938E+04  -0.440803E+02   0.214739E-03  -0.440803E+02   0.996906E+00  -0.724579E-06   0.214739E-03  -0.724579E-06   0.657199E-07
   156   0.446978E+04  -0.439760E+02   0.212718E-03  -0.439760E+02   0.990106E+00  -0.720636E-06   0.212718E-03  -0.720636E-06   0.653196E-07
   157   0.450012E+04  -0.438462E+02   0.210718E-03  -0.438462E+02   0.982954E+00  -0.717104E-06   0.210718E-03  -0.717104E-06   0.649227E-07
   158   0.453015E+04  -0.436916E+02   0.208740E-03  -0.436916E+02   0.975526E+00  -0.713921E-06   0.208740E-03  -0.713921E-06   0.645293E-07
   159   0.455989E+04  -0.435122E+02   0.206783E-03  -0.435122E+02   0.967671E+00  -0.711025E-06   0.206783E-03  -0.711025E-06   0.641393E-07
   160   0.458941E+04  -0.433065E+02   0.204848E-03  -0.433065E+02   0.959538E+00  -0.708356E-06   0.204848E-03  -0.708356E-06   0.637527E-07
   161   0.461869E+04  -0.430761E+02   0.202934E-03  -0.430761E+02   0.951202E+00  -0.705850E-06   0.202934E-03  -0.705850E-06   0.633695E-07
   162   0.464768E+04  -0.428208E+02   0.201043E-03  -0.428208E+02   0.942512E+00  -0.703447E-06   0.201043E-03  -0.703447E-06   0.629896E-07
   163   0.467652E+04  -0.425392E+02   0.199173E-03  -0.425392E+02   0.933544E+00  -0.701085E-06   0.199173E-03  -0.701085E-06   0.626131E-07
   164   0.470490E+04  -0.422327E+02   0.197324E-03  -0.422327E+02   0.924371E+00  -0.698701E-06   0.197324E-03  -0.698701E-06   0.622398E-07
   165   0.473313E+04  -0.418993E+02   0.195498E-03  -0.418993E+02   0.914919E+00  -0.696235E-06   0.195498E-03  -0.696235E-06   0.618698E-07
   166   0.476106E+04  -0.415402E+02   0.193694E-03  -0.415402E+02   0.905336E+00  -0.693625E-06   0.193694E-03  -0.693625E-06   0.615031E-07
   167   0.478876E+04  -0.411563E+02   0.191912E-03  -0.411563E+02   0.895398E+00  -0.690808E-06   0.191912E-03  -0.690808E-06   0.611396E-07
   168   0.481601E+04  -0.407454E+02   0.190152E-03  -0.407454E+02   0.885477E+00  -0.687723E-06   0.190152E-03  -0.687723E-06   0.607793E-07
   169   0.484294E+04  -0.403073E+02   0.188414E-03  -0.403073E+02   0.875275E+00  -0.684308E-06   0.188414E-03  -0.684308E-06   0.604221E-07
   170   0.486958E+04  -0.398437E+02   0.186698E-03  -0.398437E+02   0.865015E+00  -0.680503E-06   0.186698E-03  -0.680503E-06   0.600681E-07
   171   0.489576E+04  -0.393522E+02   0.185005E-03  -0.393522E+02   0.854697E+00  -0.676244E-06   0.185005E-03  -0.676244E-06   0.597172E-07
   172   0.492155E+04  -0.388344E+02   0.183334E-03  -0.388344E+02   0.844245E+00  -0.671470E-06   0.183334E-03  -0.671470E-06   0.593694E-07
   173   0.494689E+04  -0.382903E+02   0.181685E-03  -0.382903E+02   0.833661E+00  -0.666119E-06   0.181685E-03  -0.666119E-06   0.590247E-07
   174   0.497192E+04  -0.377197E+02   0.180059E-03  -0.377197E+02   0.823239E+00  -0.660131E-06   0.180059E-03  -0.660131E-06   0.586829E-07
   175   0.499657E+04  -0.371221E+02   0.178455E-03  -0.371221E+02   0.812684E+00  -0.653442E-06   0.178455E-03  -0.653442E-06   0.583443E-07
   176   0.502068E+04  -0.364973E+02   0.176874E-03  -0.364973E+02   0.802217E+00  -0.646007E-06   0.176874E-03  -0.646007E-06   0.580086E-07
